"ordem_preliminar","arquivo","largura","altura","tamanho_mb","caminho"
"061","gerada-061-ig_0f7a907d66059f300169fd89753bac819aa6ce10aca429c27d.png","1672","941","1,89","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-061-ig_0f7a907d66059f300169fd89753bac819aa6ce10aca429c27d.png"
"062","gerada-062-ig_0f7a907d66059f300169fd89caa7f8819aad407cc6c66c23d7.png","1672","941","1,82","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-062-ig_0f7a907d66059f300169fd89caa7f8819aad407cc6c66c23d7.png"
"063","gerada-063-ig_0f7a907d66059f300169fd8a298824819abcc5907dcacc6e34.png","1672","941","1,81","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-063-ig_0f7a907d66059f300169fd8a298824819abcc5907dcacc6e34.png"
"064","gerada-064-ig_0f7a907d66059f300169fd8a6e1f34819aa2d3355152941568.png","1672","941","2,07","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-064-ig_0f7a907d66059f300169fd8a6e1f34819aa2d3355152941568.png"
"065","gerada-065-ig_0f7a907d66059f300169fd8acf6cf4819a9e9fa0fb118143d6.png","1672","941","1,97","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-065-ig_0f7a907d66059f300169fd8acf6cf4819a9e9fa0fb118143d6.png"
"066","gerada-066-ig_0f7a907d66059f300169fd8b2c2e84819abd537526e1b5e148.png","1672","941","1,99","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-066-ig_0f7a907d66059f300169fd8b2c2e84819abd537526e1b5e148.png"
"067","gerada-067-ig_0f7a907d66059f300169fd8b8444c0819ab8c8ecbe23a7b2dc.png","1672","941","2,4","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-067-ig_0f7a907d66059f300169fd8b8444c0819ab8c8ecbe23a7b2dc.png"
"068","gerada-068-ig_0f7a907d66059f300169fd8d1db54c819a9a3955c5a1768bd9.png","1672","941","2,14","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-068-ig_0f7a907d66059f300169fd8d1db54c819a9a3955c5a1768bd9.png"
"069","gerada-069-ig_0f7a907d66059f300169fd8e1af794819aa144dc8ff8998324.png","1672","941","2,07","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-069-ig_0f7a907d66059f300169fd8e1af794819aa144dc8ff8998324.png"
"070","gerada-070-ig_0f7a907d66059f300169fd8e661544819a96385b182053714e.png","1672","941","2,38","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-070-ig_0f7a907d66059f300169fd8e661544819a96385b182053714e.png"
"071","gerada-071-ig_0f7a907d66059f300169fd8ec0a6f0819a8f5844e855086482.png","1672","941","1,96","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-071-ig_0f7a907d66059f300169fd8ec0a6f0819a8f5844e855086482.png"
"072","gerada-072-ig_0f7a907d66059f300169fd8f21b88c819a9cf0b58e4babd4db.png","1672","941","2,1","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-072-ig_0f7a907d66059f300169fd8f21b88c819a9cf0b58e4babd4db.png"
"073","gerada-073-ig_0f7a907d66059f300169fd8f7864fc819a97c7ecc00738be8e.png","1672","941","1,81","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-073-ig_0f7a907d66059f300169fd8f7864fc819a97c7ecc00738be8e.png"
"074","gerada-074-ig_0f7a907d66059f300169fd8fdb651c819ab44bebca4e383d5f.png","1672","941","1,7","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-074-ig_0f7a907d66059f300169fd8fdb651c819ab44bebca4e383d5f.png"
"075","gerada-075-ig_0f7a907d66059f300169fd903f9650819a8f8af17724012cbf.png","1672","941","1,87","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-075-ig_0f7a907d66059f300169fd903f9650819a8f8af17724012cbf.png"
"076","gerada-076-ig_0f7a907d66059f300169fd909fb6a4819aac21d8ab52a0aed7.png","1672","941","2,12","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-076-ig_0f7a907d66059f300169fd909fb6a4819aac21d8ab52a0aed7.png"
"077","gerada-077-ig_0f7a907d66059f300169fd9565ccdc819a92d62b702f422029.png","1672","941","1,57","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-077-ig_0f7a907d66059f300169fd9565ccdc819a92d62b702f422029.png"
"078","gerada-078-ig_0f7a907d66059f300169fd973ee9c4819ab0586d9d3095d8a8.png","1672","941","2,04","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-078-ig_0f7a907d66059f300169fd973ee9c4819ab0586d9d3095d8a8.png"
"079","gerada-079-ig_0f7a907d66059f300169fd97958ecc819a96cb0467693d97fc.png","1672","941","1,83","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-079-ig_0f7a907d66059f300169fd97958ecc819a96cb0467693d97fc.png"
"080","gerada-080-ig_0f7a907d66059f300169fd98054cbc819a88988938ed119908.png","1672","941","2,2","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-080-ig_0f7a907d66059f300169fd98054cbc819a88988938ed119908.png"
"081","gerada-081-ig_0f7a907d66059f300169fd986d2bd0819abc3f68b4409aeb03.png","1672","941","1,44","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-081-ig_0f7a907d66059f300169fd986d2bd0819abc3f68b4409aeb03.png"
"082","gerada-082-ig_0f7a907d66059f300169fd98cf87c0819a896b10c087909557.png","1672","941","2,07","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-082-ig_0f7a907d66059f300169fd98cf87c0819a896b10c087909557.png"
"083","gerada-083-ig_0f7a907d66059f300169fd9932ab10819a838fa761cdc8736a.png","1672","941","1,76","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-083-ig_0f7a907d66059f300169fd9932ab10819a838fa761cdc8736a.png"
"084","gerada-084-ig_0f7a907d66059f300169fd999d7b58819a8b8cd01fe7dd35c5.png","1672","941","1,99","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-084-ig_0f7a907d66059f300169fd999d7b58819a8b8cd01fe7dd35c5.png"
